ListingType,description,bedroom,FullBathrooms,HalfBathrooms,BathroomDescription,InteriorFeatures,CoolingFeatures,HeatingFeatures,DiningRoomDescription,ExteriorandLotFeatures,WaterFeatures,WaterfrontDescription,PoolFeatures,PoolDescription,ManufacturedMode,GarageSpaces,ParkingFeatures,HomeFeaturesView,OtherEquipment,ElementarySchool,HighSchool,MiddleSchool,AssociationFeeAmenitie,Association,AssociationAmenities,AssociationFee,AssociationFeeFrequency,CalculatedTotalMonthlyAssociation,MaintenanceDescription,PetDescription,SourceListingStatus,County,Directions,TaxYear,Restrictions,SourcePropertyType,Area,SourceNeighborhood,PostalCode,PublicSurveySection,Subdivision,Zoning,SourceSystemName,TotalSquareFeetLiving,YearBuilt,ConstructionMaterials,DirectionFaces,PropertyAge,Roof,LevelsorStories,StructureType,HouseStyle,TotalAreaSqft,YearBuiltDetails,ArchitecturalStyle,Sewer,WaterSource
sold,StatusSoldPrice/SqFt$351TypeSingleFamilyHomeBuilt2012SchoolsElementarySchool:VinelandHighSchool:MiamiKillianMiddleSchool:Palmetto,4.0,5.0,1.0,"2 Master Bathrooms, Bidet, Dual Sinks, Separate Tub & Shower","First Floor Entry
              Second Floor Entry
              Bar
              Built-Ins
              Closet Cabinetry
              Foyer Entry
              French Doors
          
        
        
          
              Laundry Tub
              Split Bedroom
              3 Bedroom Split
              Vaulted Ceilings
              Walk-In Closets
              Wet Bar
              Window Features: High Impact Windows, Plantation Shutters","Ceiling Fans, Central Cooling, Electric Cooling","Central Heat, Electric Heat",None,None,None,None,Y,"Below Ground Pool, Child Gate Fence, Concrete, Equipment Stays, Free Form, Heated",None,2.0,"Circular Drive, Driveway, Pavers","Garden View, Pool Area View","Automatic Garage Door Opener, Circuit Breaker",Vineland,Miami Killian,Palmetto,Other Subdiv/Park Info,None,None,None,None,None,None,None,Closed Sale,Miami-Dade County,None,2019,No Restrictions,Single,50,CHASE-HESSEN ESTATES,Post,10,CHASE-HESSEN ESTATES,2100,C2C,5220.0,,CBS Construction,South,9.0,Shingle Roof,2,Single Family,Pool Only,5220,Effective Year Built,Attached,Septic Tank,Municipal Water
sold,StatusSoldPrice/SqFt$273TypeSingleFamilyHomeBuilt1963SchoolsHighSchool:MiamiPalmettoMiddleSchool:Palmetto,4.0,3.0,,None,"First Floor Entry
              Bar
              Foyer Entry
              Roman Tub
          
        
        
          
              Split Bedroom
              Vaulted Ceilings
              Walk-In Closets
              Wet Bar","Central Cooling, Electric Cooling","Central Heat, Electric Heat",None,None,None,None,Y,"Below Ground Pool, Screened",None,2.0,Circular Drive,"Garden View, Pool Area View","Dishwasher, Dryer, Electric Water Heater, Electric Range, Refrigerator, Washer",None,Miami Palmetto,Palmetto,Public Road,None,None,None,None,None,None,None,Closed Sale,Miami-Dade County,None,2019,Other Restrictions,Single,50,COUNTRY SQUIRE MNR SEC 2,Post,14,COUNTRY SQUIRE MNR SEC 2,2100,C2C,3874.0,,CBS Construction,West,58.0,Shingle Roof,"1, 1",Single Family,Pool Only,3874,Resale,Attached,Septic Tank,Municipal Water
sold,StatusSoldPrice/SqFt$292TypeSingleFamilyHomeBuilt1999,,,,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,None,None,,None,None,None,None,None,None,None,None,None
sold,StatusSoldPrice/SqFt$224TypeCondo/Townhome/RowHome/Co-OpBuilt2006SchoolsElementarySchool:KenwoodHighSchool:SouthMiamiMiddleSchool:Glades,1.0,1.0,,Shower Only,"Elevator
          
        
        
          
              Window Features: Drapes & Rods",Central Cooling,Central Heat,None,None,None,None,None,None,None,1.0,"1 Space, Assigned Parking, Valet Parking",Skyline View,"Trash Compactor, Dishwasher, Disposal, Dryer, Elevator",Kenwood,South Miami,Glades,None,No,Condo,None,Monthly,0,"All Amenities, Cable Tv, Hot Water, Insurance, Internet/WiFi, Pool Service, Roof Repairs, Security, Sewer, Trash Removal, Water",None,Closed Sale,Miami-Dade County,None,2019,"Ok To Lease, Okay To Lease 1st Year",Condo,30,METROPOLIS I AT DADELAND,Post,2,METROPOLIS I AT DADELAND,None,C2C,890.0,,CBS Construction,North East,15.0,None,None,Condo/Co-Op/Villa/Townhouse,Condo 5+ Stories,890,Resale,Condo 5+ Stories,None,None
sold,StatusSoldPrice/SqFt$199TypeCondo/Townhome/RowHome/Co-OpBuilt1970,,,,None,None,None,None,None,None,None,None,None,None,None,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,,None,None,,None,None,None,None,None,None,None,None,None
sold,StatusSoldPrice/SqFt$375TypeSingleFamilyHomeBuilt2006SchoolsElementarySchool:PinecrestHighSchool:MiamiPalmettoMiddleSchool:Palmetto,6.0,6.0,1.0,"Dual Sinks, Separate Tub & Shower, Whirlpool/Spa","First Floor Entry
              Bar
              Closet Cabinetry
              Cooking Island
              Pantry
          
        
        
          
              Split Bedroom
              Volume Ceilings
              Walk-In Closets
              Window Features: Arched Windows, Drapes & Rods, High Impact Windows, Impact Glass","Ceiling Fans, Central Cooling, Electric Cooling, Zoned Cooling","Central Heat, Electric Heat, Zoned Heat",None,None,None,None,Y,Below Ground Pool,None,2.0,"Driveway, Pavers, Rv/Boat Parking","Garden View, Pool Area View","Automatic Garage Door Opener, Dishwasher, Disposal, Dryer, Electric Water Heater, Fire Alarm, Icemaker, Microwave, Gas Range, Refrigerator, Self Cleaning Oven, Smoke Detector, Wall Oven, Washer",Pinecrest,Miami Palmetto,Palmetto,None,None,None,None,None,None,None,None,Closed Sale,Miami-Dade County,"US1 TO 104 ST, EAST TO 72 AV HOUSE ON YOUR RIGHT. MEET AGENT AT THE GATE",2019,Other Restrictions,Single,50,FLAGLER GROVE ESTATES SEC,Post,2,FLAGLER GROVE ESTATES SEC,2200,C2C,6905.0,,CBS Construction,North,15.0,Barrel Roof,2,Single Family,Pool Only,6905,Resale,Detached,"Municipal Sewer, Septic Tank",Municipal Water
buy,Pre-construction to be completed in 2023. This mega mansion will be on one of the best streets in Pinecrest. Custom made home by Kenner Construction. State of the art finishes and resort style pool area with water features and private guest quarters. Basketball court and summer kitchen.,8.0,10.0,,None,Fireplace,"Central Cooling, Electric Cooling","Central Heat, Electric Heat",None,Exterior Lighting,None,None,Y,Below Ground Pool,None,6.0,Circular Drive,None,None,None,None,None,"Bar, Spa/Hot Tub, Whirlpool",None,None,None,None,None,None,None,Pending,Miami-Dade County,None,2019,No Restrictions,Single,50,RIMOLDI,Post,12,RIMOLDI,2300,C2C,,0.0,CBS Construction,South,,Barrel Roof,2,Single Family,Pool Only,None,New Construction,Detached,Municipal Sewer,Municipal Water
sold,StatusSoldPrice/SqFt$613TypeSingleFamilyHomeBuilt1989SchoolsElementarySchool:PinecrestHighSchool:MiamiPalmettoMiddleSchool:Palmetto,5.0,4.0,1.0,"Dual Sinks, Separate Tub & Shower","First Floor Entry
          
        
        
          
              Cooking Island","Central Cooling, Electric Cooling",Central Heat,None,None,None,None,Y,Below Ground Pool,None,3.0,"Circular Drive, Driveway","Garden View, Pool Area View","Dishwasher, Dryer, Microwave, Gas Range, Refrigerator, Washer",Pinecrest,Miami Palmetto,Palmetto,"Paved Road, Security Patrol",None,None,None,None,None,None,None,Closed Sale,Miami-Dade County,None,2020,No Restrictions,Single,51,SNAPPER CREEK OAKS,Post,6,SNAPPER CREEK OAKS,0100,C2C,6874.0,,CBS Construction,North,32.0,Flat Tile Roof,1,Single Family,Pool Only,6874,Resale,Detached,Municipal Sewer,Municipal Water
buy,"Impeccably pristine estate located in N Pinecrest, nestled on a 33, 976 square foot gated lot, surrounded by manicured landscaping. This estate has been completely renovated with fine finishes and high ceilings throughout. Welcomed bya spacious open floor plan with an elegant living room, dining, breakfast area and numerous impact windows and doors providing fascinating views. This 6-bedroom, 5-bathroom residence boasts expansive living areas including two family rooms, media room, and open concept kitchen with top-of-the-line appliances, wet bar and wine gallery. Master suite offers a spacious setting with spa bath, walk-in closet and access to patio area. Discover an outdoor oasis with covered patio, lounging area, summer kitchen, and large swimming pool. Additional Features: 2 Car garage, service quarters, mango fruit trees. Pinecrest Elite Schools.",6.0,5.0,,Dual Sinks,Window Features: High Impact Windows,Electric Cooling,Electric Heat,"Breakfast Area, Dining/Living Room, Family/Dining Combination",Patio,None,None,Y,Below Ground Pool,None,2.0,Driveway,None,None,Pinecrest,Miami Palmetto,Palmetto,None,None,None,None,None,None,None,None,Active With Contract,Miami-Dade County,None,2020,Other Restrictions,Single,50,UNPLATTED,Post,None,UNPLATTED,2300,C2C,6509.0,,CBS Construction,East,21.0,Barrel Roof,1,Single Family,Pool Only,6509,Resale,Attached,Septic Tank,Well Water
sold,StatusSoldPrice/SqFt$514TypeSingleFamilyHomeBuilt1960,4.0,3.0,,None,First Floor Entry,"Central Cooling, Electric Cooling","Central Heat, Electric Heat",None,None,None,None,Y,"Above Ground Pool, Equipment Stays",None,2.0,"Circular Drive, Covered Parking, Driveway",Other View,"Automatic Garage Door Opener, Dishwasher, Dryer, Wall Oven, Washer",None,None,None,"Paved Road, Sidewalks",None,None,None,None,None,None,None,Closed Sale,Miami-Dade County,None,2019,Ok To Lease,Single,51,CORAL BAY SEC A AMD PL,Post,18,CORAL BAY SEC A AMD PL,0100,C2C,3174.0,,Concrete Block Construction,North,61.0,Shingle Roof,1,Single Family,Pool Only,3174,Resale,Detached,Municipal Sewer,Municipal Water
buy,"This stunning 5000+ sf island style estate is Gables by the Sea living at its finest. Custom built in 2008, the 5-bed, 5.5-bath, 2-story home features stone floors downstairs, hardwood floors upstairs, high coffered ceilings, crown moldings, and exquisite detailing throughout. 1st floor is an entertainers dream with foyer entry, formal living room, and an enormous chefs kitchen with Thermador appliances, large prep and serving island, eat-in breakfast nook, seamless connection to family room, and French doors to the covered outdoor BBQ, living area, and bright, sunny pool. 2nd floor bedrooms are all en-suite and the huge master boasts spa-like bath, oversized WIC, and terrace overlooking pool. Located on quiet street with cul-de-sac, only 3 houses from Coral Bay Park.",5.0,5.0,1.0,"Bidet, Dual Sinks, Separate Tub & Shower",Window Features: Plantation Shutters,"Ceiling Fans, Central Cooling, Electric Cooling","Central Heat, Electric Heat",Formal Dining,Patio,None,None,Y,"Below Ground Pool, Child Gate Fence, Pool Bath",None,2.0,Driveway,None,None,Pinecrest,Miami Palmetto,Palmetto,"Gated Community, Voluntary Hoa",Yes,Homeowners,200,Semi-Annually,33,None,None,Pending,Miami-Dade County,None,2020,Other Restrictions,Single,51,CORAL BAY SEC A AMD PL,Post,18,CORAL BAY SEC A AMD PL,0100,C2C,6088.0,,"CBS Construction, Stucco Exterior Construction",South,14.0,Flat Tile Roof,2,Single Family,Pool Only,6088,Resale,Detached,Septic Tank,Municipal Water
buy,"Unique design in Pinecrest. Expected Completion: First quarter 2021. Contemporary architecture offering 5 bedrooms, 6 bathrooms, 2-car garage, oversized laundry room, fabulous open floor plan, high ceilings, tropical garden entrance, gorgeous pool/patio area, impact windows and doors, camera and speaker prewiring and many more top of the line features. This one of a kind home is located within close proximity to top-rated schools, parks, great restaurants, Dadeland Mall and the highway.",5.0,6.0,,None,Pantry,Central Cooling,Central Heat,None,Patio,None,None,Y,Below Ground Pool,None,2.0,Driveway,None,None,Pinecrest,None,Palmetto,None,None,None,None,None,None,None,None,Active,Miami-Dade County,None,2019,Ok To Lease,Single,50,None,None,2,None,2100/ESTATES,C2C,6881.0,,Concrete Block Construction,East,,Aluminum Roof,None,Single Family,Pool Only,6881,Under Construction,Detached,Septic Tank,Municipal Water
buy,"Stunning custom new construction N. Pinecrest estate. Timeless California contemporary architecture, intelligent design and masterful construction by award winning Hollub Homes combine with flawless execution to create the perfect S. FL retreat. The exceptional floor plan unifies the functional interior spaces with an outdoor spiritual oasis and guest house. 7 bedrooms, 8 1/2 baths, 3 car garage. The thoughtful design provides ideal spaces to relax and entertain - with a Family Room, Club Room & Bar, Media Room (w/ conversion option) & Gourmet Kitchen, plus dirty kitchen. Elevator.With a keen attention to detail and the finest materials, this will be your new dream home. Unique opportunity to work with the Hollub team, be a part of the process and make selections on details and finishes.",7.0,8.0,1.0,None,"Window Features: High Impact Windows, Impact Glass","Air Purifier, Ceiling Fans, Central Cooling, Humidistat",Central Heat,None,Patio,None,None,Y,Below Ground Pool,None,3.0,"Circular Drive, Driveway",None,None,Pinecrest,Miami Palmetto,Palmetto,"Additional Amenities, Bar",None,None,None,None,None,None,None,Active,Miami-Dade County,None,2019,No Restrictions,Single,50,MARTIN SUBURBAN ACRES,None,10,MARTIN SUBURBAN ACRES,.,C2C,11433.0,,"Concrete Block Construction, New Construction, Under Construction",East,,Flat Tile Roof,2,Single Family,Pool Only,11433,Under Construction,Attached,Septic Tank,Municipal Water
buy,"Gated, one-story family home on an amazing deep acre in Northeast Pinecrest. High ceilings and top-quality stone floors and finishes throughout. Stunning dining room and living room with wood burning fireplace. Large chefs kitchen with butler pantry and oversized eat-in island that flows into adjoining family room. French doors open to 54 covered terrace, heated 60 lap pool, entertaining loggia, and lush yard. Split floor plan with generously sized bedrooms, all featuring private baths and walk-in closets. Kids will retreat to their wing with five bedrooms and an impeccable game room. Top private and public schools nearby. This home has something for everyone!",7.0,8.0,1.0,"Bidet, Dual Sinks, Separate Tub & Shower, Whirlpool/Spa","Window Features: Drapes & Rods, High Impact Windows, Plantation Shutters","Central Cooling, Electric Cooling","Central Heat, Electric Heat",Formal Dining,Patio,None,None,Y,"Auto Pool Clean, Below Ground Pool, Equipment Stays, Heated",None,3.0,"Driveway, Other Parking, Pavers",None,None,Pinecrest,Miami Palmetto,Palmetto,None,None,None,None,None,None,None,None,Pending,Miami-Dade County,None,2020,No Restrictions,Single,50,UNPLATTED,Post,1,UNPLATTED,2300,C2C,8847.0,,CBS Construction,East,23.0,Flat Tile Roof,1,Single Family,Pool Only,8847,Resale,Detached,Septic Tank,Well Water
buy,"Custom built waterfront Tuscan villa with a modern interior flare, nestled behind the beautiful Mangroves of Matheson Hammock Park. This gorgeous home is located in the exclusive gated communityof Hammock Oaks, Coral Gables and boasts a large 20, 392 square foot lot and a stunning 8, 765 total square foot home with 8 bedrooms and 7.5 bathrooms. First Floor features a gourmet chef kitchen with top of the line Wolf, Miele andSubzero appliances, gas stove andcarrera marble countertops. An entertainers dream, backyard features oversized covered Loggia with outdoor kitchen and large infinity pool. Direct water access with a 55 boat dock included in price.",8.0,7.0,1.0,"Bidet, Dual Sinks, Separate Tub & Shower, Whirlpool/Spa",Wet Bar,Central Cooling,Central Heat,"Breakfast Area, Dining/Living Room, Eat-In Kitchen, Formal Dining",Patio,"Deeded Dock, Private Dock","Canal Width 1-80 Feet, Mangrove Front, Ocean Access, Other Waterfront",Y,"Below Ground Pool, Heated",None,2.0,"Covered Parking, Driveway",None,None,Pinecrest,Miami Palmetto,Palmetto,"Boating, Card/Electric Gate",None,None,None,None,None,None,None,Active,Miami-Dade County,None,2019,Dock Restrictions,Single,51,HAMMOCK OAKS HARBOR SEC 3,Post,7,HAMMOCK OAKS HARBOR SEC 3,0100,C2C,10769.0,0.0,Concrete Block Construction,East,10.0,Barrel Roof,None,Single Family,WF/Pool/Ocean Access,10769,New Construction,Attached,Municipal Sewer,Municipal Water
buy,"Remodeled Townhouse in a desirable MIAMI LAKES GOLF COURSE VILLAGE. NO HOA!!! New tile floors, new kitchen cabinets, freshly painted. Large nice patio facing the golf course. A must see!!!!Please read brokers remarks.",2.0,1.0,,None,First Floor Entry,Central Cooling,Central Heat,None,Patio,None,None,None,None,None,,2 Or More Spaces,None,None,None,None,None,None,No,None,None,None,0,No Maintenance Included,None,Pending,Miami-Dade County,None,2020,Ok To Lease,Townhouse,20,MIAMI LAKES GOLF COURSE V,Post,23,MIAMI LAKES GOLF COURSE V,None,C2C,1055.0,,CBS Construction,None,54.0,None,None,Condo/Co-Op/Villa/Townhouse,Townhouse Fee Simple,1055,Resale,Townhouse Fee Simple,None,None
buy,"We are offering for sale, the unimproved portion, +/- 1.83 Acres, of the subject property situated to the west of the current Church/School improvements towards W 6 Avenue (see survey).",,,,None,None,None,None,None,"Roads: Legal Access Road, Paved Road, Private Road",None,None,None,None,None,,None,None,None,None,None,None,None,No,None,None,None,0,None,None,Active,Miami-Dade County,"Take Gratigny Parkway (924) to Red Road, go south three blocks. Two frontages, primary entrance from east side of 7450 W 4th Ave.Listed vacant land is located with frontage on W 6th Ave, via 76th St. and across from North Twin Lakes Elementary School.",2020,None,Residential,21,SUB OF,Post,25,SUB OF,0100,C2C,,,None,West,,None,None,Residential Land/Boat Docks,None,None,None,Zoned Residential,None,None
buy,Location location location. This ideal home sits on a great sized lot Located on the incredible oak lined Aberdeen way in the security guard house gated prestigious community of Loch Lomond. Working fireplace and well laid out with plenty of room for entertain indoors and out with a covered terrace that faces the oversized pool. Dont miss this one!!,4.0,2.0,1.0,Shower Only,Walk-In Closets,"Central Cooling, Electric Cooling","Central Heat, Electric Heat","Breakfast Area, Eat-In Kitchen, Formal Dining",Screened Porch,None,None,Y,Below Ground Pool,None,2.0,"Circular Drive, Driveway",None,None,None,None,None,"Additional Amenities, Gated Community, Golf Course Community, Paved Road, Security Patrol, Sidewalks, Street Lights, Voluntary Hoa",None,Voluntary,None,None,None,None,More Than 20 Lbs,Pending,Miami-Dade County,None,2020,"Ok To Lease, No Restrictions",Single,20,MIAMI LAKES - LOCH LOMOND,Post,14,MIAMI LAKES - LOCH LOMOND,0100,C2C,3311.0,,CBS Construction,South East,52.0,Flat Tile Roof,"1, 1",Single Family,Pool Only,3311,Resale,Detached,Municipal Sewer,Municipal Water
buy,Unit 2 beds 2 bath is remodeled centrally located in tranquil Miami lakes. This unit has been meticulously maintained by owner.,2.0,1.0,,None,Second Floor Entry,Central Cooling,None,None,None,None,Canal Width 121 Feet Or More,None,None,None,,1 Space,None,None,Miami Lakes,None,None,None,Yes,Homeowners,279,Monthly,279,Elevator,None,Active,Miami-Dade County,None,2020,None,Condo,20,CYPRESS VILLAGE CONDO,Post,23,CYPRESS VILLAGE CONDO,None,C2C,816.0,,Concrete Block Construction,None,49.0,None,None,Condo/Co-Op/Villa/Townhouse,Condo 1-4 Stories,816,Condo-Conversion,Condo 1-4 Stories,None,None
buy,"ELEGANT AND SPACIOUS 5 BEDROOM, 3 FULL BATH HOME, SITTING ON A SERENE LAKE. HOME HAS TILE FL0ORS THROUGHOUT, SPACIOUS AND BRIGHT BEDROOMS, LARGE KITCHEN WITH PLENTY OF STORAGE, IMPACT WINDOWS AND DOORS THROUGHOUT, NEW HIGH EFFICIENCY A/C. HOME HAS AN ENCLOSED TERRACE THAT IS PERFECT FOR ENJOYING THE VIEW, OR ENJOYING A NICE MEAL WITH FAMILY. A+ SCHOOLS IN AREA. NATURAL GAS AVAILABLE. NEAR SHOPPING AND MAJOR HIGHWAYS. NO ASSOCIATION. LOOK NO FURTHER, THIS HOME IS ONE OF A KIND.",5.0,3.0,,"Dual Sinks, Shower Only","Window Features: Blinds/Shades, High Impact Windows, Impact Glass, Plantation Shutters","Central Cooling, Electric Cooling",Central Heat,"Formal Dining, Snack Bar/Counter",Wraparound Porch,None,Lake Front,None,None,None,2.0,Driveway,None,None,Miami Lakes,Goleman Barbara,Miami Lakes,"Gas Metered, Sidewalks, Street Lights",None,None,None,None,None,None,Restrictions Or Possible Restrictions,Active With Contract,Miami-Dade County,None,2020,"No Restrictions, Other Restrictions",Single,20,MIAMI LAKES SEC 7,Post,23,MIAMI LAKES SEC 7,0100,C2C,2805.0,,CBS Construction,South,53.0,Barrel Roof,"1, 1",Single Family,WF/No Ocean Access,2805,Resale,Detached,Municipal Sewer,Municipal Water
buy,"Check out this 4 beds/3 baths single family home, nestled in a desirable Hialeah area. Very well maintained home as pride is in the ownership. House also features in-law quarters. Schedule your showing today.",4.0,3.0,,None,First Floor Entry,Central Cooling,Central Heat,None,Awnings,None,None,None,None,None,,Driveway,None,None,Palm Lakes,Hialeah-Miami Lakes,Miami Lakes,None,None,None,None,None,None,None,None,Active With Contract,Miami-Dade County,None,2020,Ok To Lease,Single,20,ALTAVISTA PARK SEC 1,Post,26,ALTAVISTA PARK SEC 1,0100,C2C,2408.0,,CBS Construction,South,60.0,Other Roof,1,Single Family,R30-No Pool/No Water,2408,Resale,Detached,Municipal Sewer,Municipal Water
