,propertyurl,listingtype,forsaleprice,lastsoldprice,description,bedroom,totalbathrooms,fullbathrooms,halfbathrooms,bathroomdescription,interiorfeatures,coolingfeatures,heatingfeatures,diningroomdescription,exteriorandlotfeatures,waterfeatures,waterfrontdescription,poolfeatures,pooldescription,manufacturedmode,garagespaces,parkingfeatures,homefeaturesview,otherequipment,elementaryschool,highschool,middleschool,associationfeeamenitie,association,associationamenities,associationfee,associationfeefrequency,calculatedtotalmonthlyassociation,maintenancedescription,petdescription,annualtaxamount,sourcelistingstatus,county,directions,taxyear,restrictions,sourcepropertytype,area,sourceneighborhood,postalcode,publicsurveysection,subdivision,zoning,sourcesystemname,totalsquarefeetliving,yearbuilt,constructionmaterials,directionfaces,propertyage,roof,levelsorstories,structuretype,housestyle,totalareasqft,yearbuiltdetails,architecturalstyle,sewer,watersource
10,https://www.realtor.com/realestateandhomes-detail/275-E-18th-St_Hialeah_FL_33010_M54954-04336,sold,None,141500,StatusSoldPrice/SqFt$105TypeSingleFamilyHomeBuilt1946,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
11,https://www.realtor.com/realestateandhomes-detail/19101-Mystic-Pointe-Dr-Apt-204_Aventura_FL_33180_M50494-78934,buy,329000,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
12,https://www.realtor.com/realestateandhomes-detail/767-W-2nd-Ave_Hialeah_FL_33010_M98392-36179,sold,None,1275000,StatusSoldPrice/SqFt$355TypeMulti-FamilyHomeBuilt1951,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3595,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13,https://www.realtor.com/realestateandhomes-detail/55-W-16th-St-Apt-4_Hialeah_FL_33010_M57289-87263,sold,None,130000,StatusSoldPrice/SqFt$174TypeCondo/Townhome/RowHome/Co-OpBuilt1969,2,None,1,None,None,First Floor Entry,Wall/Window Unit Cooling,Window/Wall,None,None,None,None,None,None,None,None,2 Or More Spaces,None,"Electric Range, Microwave, Refrigerator",None,None,None,None,Yes,None,220,Monthly,220,None,No Restrictions,214,Closed Sale,Miami-Dade County,None,2019,None,Condo/Co-Op/Villa/Townhouse,31,ALOHA CONDO,Post,None,ALOHA CONDO,None,C2C,749,Resale,Concrete Block Construction,South,52,None,None,Condo,None,749,Resale,Condo 1-4 Stories,None,None
14,https://www.realtor.com/realestateandhomes-detail/767-W-2nd-Ave_Hialeah_FL_33010_M61792-27502,sold,None,1275000,StatusSoldPrice/SqFt$355TypeMulti-FamilyHomeBuilt1951,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
15,https://www.realtor.com/realestateandhomes-detail/121-SE-8th-Ave_Hialeah_FL_33010_M57144-16280,sold,None,282000,StatusSoldPrice/SqFt$198TypeSingleFamilyHomeBuilt1947,3,1.00,1,None,None,First Floor Entry,"Central Cooling, Electric Cooling","Central Heat, Electric Heat",None,None,None,None,None,None,None,None,Driveway,Other View,None,None,None,None,None,None,None,None,None,None,None,None,3709,Closed Sale,Miami-Dade County,None,2019,No Restrictions,Single,31,2ND ADDN ESSEX VILLAGE,Post,20,2ND ADDN ESSEX VILLAGE,0100,C2C,1846,Resale,"CBS Construction, Stucco Exterior Construction",North,74,Shingle Roof,1,Single Family,R30-No Pool/No Water,1846,Resale,Detached,Other Sewer,Municipal Water
16,https://www.realtor.com/realestateandhomes-detail/45-E-11th-St-Apt-8_Hialeah_FL_33010_M57393-09929,sold,None,120000,StatusSoldPrice/SqFtNoInfoTypeCondo/Townhome/RowHome/Co-OpBuilt1970,1,1.00,1,None,None,Second Floor Entry,Central Cooling,None,None,None,None,None,None,None,None,1,"1 Space, Guest Parking","Garden View, Other View","Electric Water Heater, Microwave, Electric Range, Refrigerator",None,None,None,None,Yes,Condo,145,Monthly,145,"Common Area, Insurance, Landscaping/Lawn Maintenance, Manager, Parking, Roof Repairs, Water",Restrictions Or Possible Restrictions,1590,Closed Sale,Miami-Dade County,"From US 27 and 826 (the Palmetto), take the exit toward South River Drive; turn left on US 27, left on West 9th Street, left on Palm Avenue, and right on 11th Street.",2020,Ok To Lease,Condo,31,MAR RONDA CONDO,None,18,MAR RONDA CONDO,None,C2C,None,Resale,CBS Construction,None,51,None,None,Condo/Co-Op/Villa/Townhouse,Condo 1-4 Stories,None,Resale,Condo 1-4 Stories,None,None
17,https://www.realtor.com/realestateandhomes-detail/2394-W-9th-Ln_Hialeah_FL_33010_M52899-57195,sold,None,360000,StatusSoldPrice/SqFt$360TypeSingleFamilyHomeBuilt1957SchoolsElementarySchool:JamesS.HuntHighSchool:WestLandMiddleSchool:Filer;Henry,3,1.00,1,None,None,"First Floor Entry
          
        
        
          
              Handicap Accessible",Central Cooling,Central Heat,None,None,None,None,None,None,None,None,Driveway,Other View,"Electric Water Heater, Electric Range, Refrigerator, Washer",James S. Hunt,West Land,Filer;Henry,"Public Road, Sidewalks, Street Lights",None,None,None,None,None,None,None,1754,Closed Sale,Miami-Dade County,None,2019,"Ok To Lease, No Restrictions",Single,30,HIALEAH HOMESITES 1ST ADD,Post,12,HIALEAH HOMESITES 1ST ADD,0100,C2C,1142,Resale,Concrete Block Construction,South,64,Shingle Roof,1,Single Family,R30-No Pool/No Water,1142,Resale,Detached,Municipal Sewer,Municipal Water
18,https://www.realtor.com/realestateandhomes-detail/820-SE-8th-Ct_Hialeah_FL_33010_M57444-52629,sold,None,294000,StatusSoldPrice/SqFt$295TypeSingleFamilyHomeBuilt1947,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
19,https://www.realtor.com/realestateandhomes-detail/582-E-15th-St_Hialeah_FL_33010_M56532-25602,sold,None,400000,StatusSoldPrice/SqFt$191TypeSingleFamilyHomeBuilt1950,4,2.00,2,None,None,First Floor Entry,Central Cooling,Central Heat,None,None,None,None,None,None,None,None,Circular Drive,None,"Dishwasher, Electric Range, Refrigerator",None,None,None,None,None,None,None,None,None,None,None,5445,Closed Sale,Miami-Dade County,None,2019,No Restrictions,Single,31,HIALEAH 8TH ADD,Post,17,HIALEAH 8TH ADD,0100,C2C,2220,Resale,"Concrete Block Construction, CBS Construction",North,71,Shingle Roof,1,Single Family,R30-No Pool/No Water,2220,Resale,Detached,Municipal Sewer,Municipal Water
20,https://www.realtor.com/realestateandhomes-detail/258-E-11th-St_Hialeah_FL_33010_M56464-43201,sold,None,340000,StatusSoldPrice/SqFt$194TypeSingleFamilyHomeBuilt1946SchoolsElementarySchool:SouthHialeahHighSchool:WestLandMiddleSchool:MiamiSprings,4,3.00,3,None,None,"First Floor Entry
          
        
        
          
              Cooking Island",Central Cooling,"Central Heat, Electric Heat",None,None,None,None,None,None,None,None,"Covered Parking, Driveway",Garden View,"Dryer, Electric Range, Refrigerator, Washer",South Hialeah,West Land,Miami Springs,"Paved Road, Public Road, Sidewalks",None,None,None,None,None,None,None,893,Closed Sale,Miami-Dade County,USE GPS,2019,No Restrictions,Single,31,TOWN OF HIALEAH 1 ADDN AM,Post,18,TOWN OF HIALEAH 1 ADDN AM,0100,C2C,1875,1946,CBS Construction,West,75,"Barrel Roof, Other Roof",1,Single Family,R30-No Pool/No Water,1875,None,Detached,Septic Tank,Municipal Water
21,https://www.realtor.com/realestateandhomes-detail/130-W-18th-St_Hialeah_FL_33010_M55404-58860,sold,None,380000,StatusSoldPrice/SqFt$327TypeSingleFamilyHomeBuilt1947,4,None,2,None,None,First Floor Entry,"Central Cooling, Electric Cooling","Central Heat, Electric Heat",None,None,None,None,None,None,None,None,Driveway,None,"Electric Range, Microwave, Refrigerator",None,None,None,None,No,None,None,None,0,None,None,1363,Closed Sale,Miami-Dade County,None,2019,None,Single Family,31,Hialeah Add 17,Post,None,Hialeah Add 17,0100,C2C,1163,Resale,Cbs Construction,North,74,Curved/S-Tile Roof,1,Single,One Story,None,Resale,No Pool/No Water,Municipal Sewer,Municipal Water
22,https://www.realtor.com/realestateandhomes-detail/1010-E-6th-Ct_Hialeah_FL_33010_M55818-24056,sold,None,300000,StatusSoldPrice/SqFt$341TypeSingleFamilyHomeBuilt1950,2,1.00,1,None,None,First Floor Entry,Central Cooling,None,None,None,None,None,None,None,None,None,"Driveway, Street Parking",None,Refrigerator,None,None,None,Sidewalks,None,None,None,None,None,None,None,3176,Closed Sale,Miami-Dade County,None,2019,Ok To Lease,Single,31,SUN-TAN VILLAGE SEC 3,Post,17,SUN-TAN VILLAGE SEC 3,0100,C2C,935,1950,CBS Construction,East,71,Flat Tile Roof,1,Single Family,R30-No Pool/No Water,935,None,Detached,Other Sewer,None
23,https://www.realtor.com/realestateandhomes-detail/2725-W-Okeechobee-Rd-53_Hialeah_FL_33010_M90725-01418,sold,None,Price Unavailable,StatusSoldPrice/SqFtNoInfoTypeApartmentBuilt1974SchoolsElementarySchool:JamesS.HuntHighSchool:WestLandMiddleSchool:Filer;Henry,2,1.00,1,None,None,"Second Floor Entry
              Walk-In Closets
          
        
        
          
              Window Features: Blinds/Shades, Verticals","Central Cooling, Electric Cooling",Heat Pump/Reverse Cycle,None,None,None,Canal Front,None,None,None,None,"1 Space, Assigned Parking, Guest Parking",Canal,"Electric Water Heater, Electric Range, Refrigerator, Smoke Detector",James S. Hunt,West Land,Filer;Henry,None,None,None,None,None,None,None,None,None,Rented,Miami-Dade County,"25.845830, -80.310960 for the exact coordinates of the building.",None,None,Apartment,30,FLA FRUIT LAND CO SUB,Post,11,FLA FRUIT LAND CO SUB,4600,C2C,None,Effective Year Built,CBS Construction,South West,47,Other Roof,None,Residential Rental,Apartments-Annual,None,Effective Year Built,Second Floor Entry,Sewer,Municipal Water
24,https://www.realtor.com/realestateandhomes-detail/222-W-15th-St_Hialeah_FL_33010_M56955-96979,sold,None,350000,StatusSoldPrice/SqFt$290TypeSingleFamilyHomeBuilt1959SchoolsElementarySchool:HialeahHighSchool:WestLandMiddleSchool:MiamiSprings,3,2.00,2,None,None,First Floor Entry,Central Cooling,Central Heat,None,None,None,None,None,None,None,None,Driveway,None,"Dryer, Washer",Hialeah,West Land,Miami Springs,None,None,None,None,None,None,None,None,3840,Closed Sale,Miami-Dade County,None,2020,No Restrictions,Single,31,HIALEAH 2ND STUDIO ADDN,Post,18,HIALEAH 2ND STUDIO ADDN,0100,C2C,1371,Resale,Other Construction,North,62,Shingle Roof,1,Single Family,R30-No Pool/No Water,1371,Resale,Detached,Municipal Sewer,Municipal Water
25,https://www.realtor.com/realestateandhomes-detail/2725-W-Okeechobee-Rd-Apt-30_Hialeah_FL_33010_M91722-86254,sold,None,1300,StatusSoldPrice/SqFtNoInfoTypeApartmentBuilt1974SchoolsElementarySchool:JamesS.HuntHighSchool:WestLandMiddleSchool:Filer;Henry,2,1.00,1,None,None,"Second Floor Entry
              Walk-In Closets
          
        
        
          
              Window Features: Blinds/Shades, Verticals","Central Cooling, Electric Cooling",Heat Pump/Reverse Cycle,None,None,None,Canal Front,None,None,None,None,"1 Space, Assigned Parking, Guest Parking",Canal,"Electric Water Heater, Electric Range, Refrigerator, Smoke Detector",James S. Hunt,West Land,Filer;Henry,None,None,None,None,None,None,None,None,None,Rented,Miami-Dade County,"25.845830, -80.310960 for the exact coordinates of the building.",None,None,Apartment,30,FLA FRUIT LAND CO SUB,Post,11,FLA FRUIT LAND CO SUB,4600,C2C,None,Effective Year Built,CBS Construction,South West,47,Other Roof,None,Residential Rental,Apartments-Annual,None,Effective Year Built,Second Floor Entry,Sewer,Municipal Water
26,https://www.realtor.com/realestateandhomes-detail/731-NE-2nd-Pl_Hialeah_FL_33010_M56705-91531,sold,None,410000,StatusSoldPrice/SqFt$178TypeSingleFamilyHomeBuilt1947,5,3.00,3,None,None,First Floor Entry,Central Cooling,Central Heat,None,None,None,None,None,None,None,4,"Circular Drive, Driveway",None,"Dishwasher, Electric Water Heater, Microwave, Electric Range, Refrigerator",None,None,None,"Paved Road, Public Road, Sidewalks, Street Lights",None,None,None,None,None,None,None,1753,Closed Sale,Miami-Dade County,None,2019,Ok To Lease,Single,31,ESSEX VILLAGE-THIRD ADDIT,Post,17,ESSEX VILLAGE-THIRD ADDIT,0100,C2C,2300,Resale,CBS Construction,South,74,Shingle Roof,1,Single Family,R30-No Pool/No Water,2300,Resale,Attached,Municipal Sewer,Municipal Water
27,https://www.realtor.com/realestateandhomes-detail/242-W-23rd-St_Hialeah_FL_33010_M94945-06179,sold,None,540000,StatusSoldPrice/SqFt$92TypeIndustrialBuilt1940,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
28,https://www.realtor.com/realestateandhomes-detail/215-E-3rd-St-Unit-4_Hialeah_FL_33010_M62038-82515,sold,None,235000,StatusSoldPrice/SqFt$190TypeCondo/Townhome/RowHome/Co-OpBuilt2002,3,3.00,2,1,None,First Floor Entry,Central Cooling,Electric Heat,None,None,None,None,None,None,None,None,Assigned Parking,Other View,"Electric Range, Refrigerator",None,None,None,None,Yes,Condo,160,Monthly,160,Other Maintenance Includes,None,2919,Closed Sale,Miami-Dade County,None,2019,Ok To Lease,Condo,31,LOS PORTALES PHASE II CON,Post,18,LOS PORTALES PHASE II CON,None,C2C,1240,2002,Other Construction,None,19,None,None,Condo/Co-Op/Villa/Townhouse,Townhouse Condo,1240,None,Townhouse Condo,None,None
29,https://www.realtor.com/realestateandhomes-detail/760-E-9th-Ct_Hialeah_FL_33010_M56440-20914,sold,None,200000,StatusSoldPrice/SqFt$191TypeSingleFamilyHomeBuilt1952,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
30,https://www.realtor.com/realestateandhomes-detail/321-W-17th-St_Hialeah_FL_33010_M54957-39729,sold,None,339000,StatusSoldPrice/SqFt$589TypeSingleFamilyHomeBuilt1947,3,2.00,2,None,None,None,Central Cooling,Central Heat,None,None,None,None,None,None,None,None,"Driveway, Guest Parking, Other Parking, Street Parking",None,"Microwave, Electric Range, Refrigerator",None,None,None,None,None,None,None,None,None,None,None,3200,Closed Sale,Miami-Dade County,None,2020,No Restrictions,Single,31,HIALEAH 9TH ADDN,Post,7,HIALEAH 9TH ADDN,0100,C2C,840,Resale,CBS Construction,South,74,Flat Tile Roof,1,Single Family,R30-No Pool/No Water,840,Resale,Detached,Municipal Sewer,Municipal Water
31,https://www.realtor.com/realestateandhomes-detail/241-E-6th-St_Hialeah_FL_33010_M56951-12522,sold,None,500000,StatusSoldPrice/SqFt$230TypeMulti-FamilyHomeBuilt1941,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2812,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
32,https://www.realtor.com/realestateandhomes-detail/1785-E-9th-Ave_Hialeah_FL_33010_M55669-54945,sold,None,415000,StatusSoldPrice/SqFt$216TypeSingleFamilyHomeBuilt1947,4,2.00,2,None,None,"First Floor Entry
          
        
        
          
              Second Floor Entry",Central Cooling,Central Heat,None,None,None,None,None,None,None,None,Driveway,None,Microwave,None,None,None,Public Road,None,None,None,None,None,None,None,4158,Closed Sale,Miami-Dade County,PLEASE,2019,Ok To Lease,Single,31,SUN DECK VLG,Post,8,SUN DECK VLG,0100,C2C,2020,Resale,Concrete Block Construction,East,74,Flat Tile Roof,None,Single Family,R30-No Pool/No Water,2020,Resale,Detached,Municipal Sewer,None
33,https://www.realtor.com/realestateandhomes-detail/291-E-11th-St_Hialeah_FL_33010_M56969-38553,sold,None,395000,StatusSoldPrice/SqFt$254TypeSingleFamilyHomeBuilt1950,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
34,https://www.realtor.com/realestateandhomes-detail/2438-W-9th-Ln_Hialeah_FL_33010_M53003-91658,sold,None,245000,StatusSoldPrice/SqFt$157TypeSingleFamilyHomeBuilt1958,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
35,https://www.realtor.com/realestateandhomes-detail/650-E-6th-Pl_Hialeah_FL_33010_M55935-62828,sold,None,335000,StatusSoldPrice/SqFt$329TypeSingleFamilyHomeBuilt1948,3,1.00,1,None,None,First Floor Entry,Central Cooling,Electric Heat,None,None,None,None,None,None,None,None,Driveway,None,"Dryer, Electric Range, Refrigerator, Smoke Detector, Washer",None,None,None,Paved Road,None,None,None,None,None,None,None,1702,Closed Sale,Miami-Dade County,None,2020,Ok To Lease,Single,31,MARJOHN PARK,Post,17,MARJOHN PARK,0100,C2C,1018,Resale,"CBS Construction, Siding-Asbestos",North East,73,Shingle Roof,1,Single Family,R30-No Pool/No Water,1018,Resale,Attached,Municipal Sewer,Municipal Water
36,https://www.realtor.com/realestateandhomes-detail/2350-Palm-Ave_Hialeah_FL_33010_M62455-86773,sold,None,1850000,StatusSoldPrice/SqFt$317TypeMulti-FamilyHomeBuilt1958,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
37,https://www.realtor.com/realestateandhomes-detail/134-E-5th-St-Unit-3_Hialeah_FL_33010_M67068-53145,sold,None,205000,StatusSoldPrice/SqFt$211TypeCondo/Townhome/RowHome/Co-OpBuilt2003,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
38,https://www.realtor.com/realestateandhomes-detail/650-Palm-Ave-4-B6_Hialeah_FL_33010_M67515-16912,sold,None,168000,StatusSoldPrice/SqFt$172TypeCondo/Townhome/RowHome/Co-OpBuilt2003,2,2.00,2,None,None,Elevator,Central Cooling,No Heat,None,None,None,None,None,None,None,2,2 Or More Spaces,None,Dryer,None,None,None,None,Yes,Condo,264,Monthly,264,Sewer,None,2570,Closed Sale,Miami-Dade County,None,2021,Ok To Lease,Condo,31,PALM VILLAS OF HIALEAH CO,Post,18,PALM VILLAS OF HIALEAH CO,None,C2C,979,2003,CBS Construction,None,18,None,None,Condo/Co-Op/Villa/Townhouse,Condo 1-4 Stories,979,None,Condo 1-4 Stories,None,None
39,https://www.realtor.com/realestateandhomes-detail/543-W-15th-St_Hialeah_FL_33010_M53450-36258,sold,None,320000,StatusSoldPrice/SqFt$244TypeSingleFamilyHomeBuilt1959,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
